ra,dec,fov,width,height,hips,output,format
0.5038693696,-0.3431394938,0.2,500,500,SDSS,sdss_144.png,png
0.5150618289,0.6318808477,0.2,500,500,SDSS,sdss_145.png,png
0.5154557511,13.7475818599,0.2,500,500,SDSS,sdss_146.png,png
0.5163130607,15.0551382942,0.2,500,500,SDSS,sdss_147.png,png
0.5201752372,0.6298434394,0.2,500,500,SDSS,sdss_148.png,png
0.5235333182,-11.2105835483,0.2,500,500,SDSS,sdss_149.png,png
0.5264302735,-10.2185509143,0.2,500,500,SDSS,sdss_150.png,png
0.5264925193,-9.2022149397,0.2,500,500,SDSS,sdss_151.png,png
0.5345998943,15.4496389354,0.2,500,500,SDSS,sdss_152.png,png
0.5379801109,0.5532383756,0.2,500,500,SDSS,sdss_153.png,png
0.5391161236,-10.4192988061,0.2,500,500,SDSS,sdss_154.png,png
0.5424716643,14.1362214355,0.2,500,500,SDSS,sdss_155.png,png
0.5523773114,0.0047342467,0.2,500,500,SDSS,sdss_156.png,png
0.552442631,-0.6804278239,0.2,500,500,SDSS,sdss_157.png,png
0.5581287784,-0.0209278059,0.2,500,500,SDSS,sdss_158.png,png
0.5615581328,14.4877463562,0.2,500,500,SDSS,sdss_159.png,png
0.5663575755,14.6718077624,0.2,500,500,SDSS,sdss_160.png,png
0.5684294662,0.4346580789,0.2,500,500,SDSS,sdss_161.png,png
0.570425647,0.909329964,0.2,500,500,SDSS,sdss_162.png,png
0.5725481424,-10.678063363,0.2,500,500,SDSS,sdss_163.png,png
0.573097566,-0.3434709283,0.2,500,500,SDSS,sdss_164.png,png
0.5787129334,0.4242638331,0.2,500,500,SDSS,sdss_165.png,png
0.5832642321,-0.8301314623,0.2,500,500,SDSS,sdss_166.png,png
0.5884319816,0.9372303623,0.2,500,500,SDSS,sdss_167.png,png
0.5918118359,15.419753816,0.2,500,500,SDSS,sdss_168.png,png
0.5930988126,0.6611075325,0.2,500,500,SDSS,sdss_169.png,png
0.5965685612,15.1164119305,0.2,500,500,SDSS,sdss_170.png,png
0.60273689,0.5351529187,0.2,500,500,SDSS,sdss_171.png,png
0.6072924664,-9.3666262187,0.2,500,500,SDSS,sdss_172.png,png
0.6136920886,16.0784836754,0.2,500,500,SDSS,sdss_173.png,png
0.616943701,0.1395472541,0.2,500,500,SDSS,sdss_174.png,png
0.6229956163,-0.7594537359,0.2,500,500,SDSS,sdss_175.png,png
0.6258810282,-10.9018462503,0.2,500,500,SDSS,sdss_176.png,png
0.6401108807,14.0826414341,0.2,500,500,SDSS,sdss_177.png,png
0.6434855016,13.9669163524,0.2,500,500,SDSS,sdss_178.png,png
0.6447089001,-0.6823399804,0.2,500,500,SDSS,sdss_179.png,png
0.6508476263,0.4211884978,0.2,500,500,SDSS,sdss_180.png,png
0.6515093943,0.4957200518,0.2,500,500,SDSS,sdss_181.png,png
0.6598405206,14.646897039,0.2,500,500,SDSS,sdss_182.png,png
0.6612569003,0.3860711005,0.2,500,500,SDSS,sdss_183.png,png
0.6639600663,2.3357499599,0.2,500,500,SDSS,sdss_184.png,png
0.6652026892,0.9426984707,0.2,500,500,SDSS,sdss_185.png,png
0.6662419457,1.0113084512,0.2,500,500,SDSS,sdss_186.png,png
0.6702894654,13.959446278,0.2,500,500,SDSS,sdss_187.png,png
0.6717009922,0.0832670881,0.2,500,500,SDSS,sdss_188.png,png
0.6775221001,1.050303947,0.2,500,500,SDSS,sdss_189.png,png
0.6794882815,-0.4094168957,0.2,500,500,SDSS,sdss_190.png,png
0.6795273518,0.5720010145,0.2,500,500,SDSS,sdss_191.png,png
0.6803389875,-10.7209159312,0.2,500,500,SDSS,sdss_192.png,png
0.6891092125,-10.5748510732,0.2,500,500,SDSS,sdss_193.png,png
0.6978234082,-9.8161025102,0.2,500,500,SDSS,sdss_194.png,png
0.6994081551,-9.0450624065,0.2,500,500,SDSS,sdss_195.png,png
0.7036762922,0.4761566475,0.2,500,500,SDSS,sdss_196.png,png
0.7046986548,-11.1263832559,0.2,500,500,SDSS,sdss_197.png,png
0.7059664931,0.75186529,0.2,500,500,SDSS,sdss_198.png,png
0.7134981916,16.0730649534,0.2,500,500,SDSS,sdss_199.png,png
0.714092337,-10.6381048679,0.2,500,500,SDSS,sdss_200.png,png
0.714905766,15.654835068,0.2,500,500,SDSS,sdss_201.png,png
0.7155226821,0.4293499764,0.2,500,500,SDSS,sdss_202.png,png
0.7165103889,16.0539411987,0.2,500,500,SDSS,sdss_203.png,png
0.7170784,0.6595636284,0.2,500,500,SDSS,sdss_204.png,png
0.7181070541,1.1170969916,0.2,500,500,SDSS,sdss_205.png,png
0.719565859,0.0083349984,0.2,500,500,SDSS,sdss_206.png,png
0.7216740491,0.9471303818,0.2,500,500,SDSS,sdss_207.png,png
0.7359539462,0.7726416217,0.2,500,500,SDSS,sdss_208.png,png
0.7366548577,-10.0592493538,0.2,500,500,SDSS,sdss_209.png,png
0.7383789921,0.1307093226,0.2,500,500,SDSS,sdss_210.png,png
0.7410613423,14.1639360611,0.2,500,500,SDSS,sdss_211.png,png
0.7411908228,-9.9547984995,0.2,500,500,SDSS,sdss_212.png,png
0.7441188577,0.1420233407,0.2,500,500,SDSS,sdss_213.png,png
0.7475987929,0.3043298281,0.2,500,500,SDSS,sdss_214.png,png
0.7522653895,0.0586714321,0.2,500,500,SDSS,sdss_215.png,png
0.7549597539,0.0607554323,0.2,500,500,SDSS,sdss_216.png,png
0.756122386,-0.3171683807,0.2,500,500,SDSS,sdss_217.png,png
0.7569234395,15.6750168761,0.2,500,500,SDSS,sdss_218.png,png
0.7602347705,1.2045065589,0.2,500,500,SDSS,sdss_219.png,png
0.7745763694,-0.3570564889,0.2,500,500,SDSS,sdss_220.png,png
0.7774394875,15.9235489189,0.2,500,500,SDSS,sdss_221.png,png
0.7816867922,2.4058230196,0.2,500,500,SDSS,sdss_222.png,png
0.7835378301,3.5995383402,0.2,500,500,SDSS,sdss_223.png,png
0.7839017466,15.9770158097,0.2,500,500,SDSS,sdss_224.png,png
0.7877523285,-0.7522671029,0.2,500,500,SDSS,sdss_225.png,png
0.7925384831,1.134819492,0.2,500,500,SDSS,sdss_226.png,png
0.7939965554,1.1114915486,0.2,500,500,SDSS,sdss_227.png,png
0.795653368,-0.334414186,0.2,500,500,SDSS,sdss_228.png,png
0.7959569082,13.7776327221,0.2,500,500,SDSS,sdss_229.png,png
0.7967746941,-10.2391637889,0.2,500,500,SDSS,sdss_230.png,png
0.7969508783,15.9657109086,0.2,500,500,SDSS,sdss_231.png,png
0.8002124456,13.909793906,0.2,500,500,SDSS,sdss_232.png,png
0.8012507831,-10.8348151202,0.2,500,500,SDSS,sdss_233.png,png
0.8035693837,-9.0318567508,0.2,500,500,SDSS,sdss_234.png,png
0.806740019,-0.0435232729,0.2,500,500,SDSS,sdss_235.png,png
0.8078071732,-10.4512525981,0.2,500,500,SDSS,sdss_236.png,png
0.8120844056,-0.0382598002,0.2,500,500,SDSS,sdss_237.png,png
0.8124438251,1.1006819957,0.2,500,500,SDSS,sdss_238.png,png
0.8135594187,16.0482899063,0.2,500,500,SDSS,sdss_239.png,png
0.8142218982,-9.3101666735,0.2,500,500,SDSS,sdss_240.png,png
0.8146618922,0.2793064145,0.2,500,500,SDSS,sdss_241.png,png
0.8230929142,1.8580480069,0.2,500,500,SDSS,sdss_242.png,png
0.8238259329,15.5241861249,0.2,500,500,SDSS,sdss_243.png,png
0.8273552039,-10.7564021155,0.2,500,500,SDSS,sdss_244.png,png
0.8357649048,-0.5267194263,0.2,500,500,SDSS,sdss_245.png,png
0.8368597372,14.6733088506,0.2,500,500,SDSS,sdss_246.png,png
0.8401311519,-9.9832858555,0.2,500,500,SDSS,sdss_247.png,png
0.842582388,-10.7706281351,0.2,500,500,SDSS,sdss_248.png,png
0.843702451,1.0578851913,0.2,500,500,SDSS,sdss_249.png,png
0.8489069413,1.0998951378,0.2,500,500,SDSS,sdss_250.png,png
0.850709392,1.9434617712,0.2,500,500,SDSS,sdss_251.png,png
0.8610869875,0.9315782659,0.2,500,500,SDSS,sdss_252.png,png
0.8618930246,1.0807131167,0.2,500,500,SDSS,sdss_253.png,png
0.864582857,1.0977499294,0.2,500,500,SDSS,sdss_254.png,png
0.8646863216,-10.6764560515,0.2,500,500,SDSS,sdss_255.png,png
0.8655350207,2.0633656953,0.2,500,500,SDSS,sdss_256.png,png
0.868168367,0.8957967367,0.2,500,500,SDSS,sdss_257.png,png
0.8697114302,0.677026938,0.2,500,500,SDSS,sdss_258.png,png
0.8724289583,14.0084969216,0.2,500,500,SDSS,sdss_259.png,png
0.8743150752,-11.0768457269,0.2,500,500,SDSS,sdss_260.png,png
0.8783988688,-0.5657351228,0.2,500,500,SDSS,sdss_261.png,png
0.8787774799,1.05895943,0.2,500,500,SDSS,sdss_262.png,png
0.88129039,3.3352797506,0.2,500,500,SDSS,sdss_263.png,png
0.8838608153,-10.7446782921,0.2,500,500,SDSS,sdss_264.png,png
0.8840880527,13.9617768946,0.2,500,500,SDSS,sdss_265.png,png
0.8844551358,0.8828413738,0.2,500,500,SDSS,sdss_266.png,png
0.8872652169,1.0805512923,0.2,500,500,SDSS,sdss_267.png,png
0.8913471675,0.6142855867,0.2,500,500,SDSS,sdss_268.png,png
0.8940260033,14.0280778244,0.2,500,500,SDSS,sdss_269.png,png
0.8940358628,15.1639179082,0.2,500,500,SDSS,sdss_270.png,png
0.895923666,1.0458332162,0.2,500,500,SDSS,sdss_271.png,png
0.899094764,0.9092025118,0.2,500,500,SDSS,sdss_272.png,png
0.9026737681,15.1791078107,0.2,500,500,SDSS,sdss_273.png,png
0.9028273789,14.2427639331,0.2,500,500,SDSS,sdss_274.png,png
0.9096480092,13.9730677488,0.2,500,500,SDSS,sdss_275.png,png
0.910515374,0.886923503,0.2,500,500,SDSS,sdss_276.png,png
0.9170997136,-0.2802982048,0.2,500,500,SDSS,sdss_277.png,png
0.9208159772,1.151365011,0.2,500,500,SDSS,sdss_278.png,png
0.9208614324,15.1400506181,0.2,500,500,SDSS,sdss_279.png,png
0.9288679614,14.4121745548,0.2,500,500,SDSS,sdss_280.png,png
0.9336507758,2.7044675004,0.2,500,500,SDSS,sdss_281.png,png
0.9346708338,16.1868720257,0.2,500,500,SDSS,sdss_282.png,png
0.9357157384,0.5747109659,0.2,500,500,SDSS,sdss_283.png,png
0.9374746769,13.9571335946,0.2,500,500,SDSS,sdss_284.png,png
0.9394768467,1.044705638,0.2,500,500,SDSS,sdss_285.png,png
0.9416986558,0.8549106397,0.2,500,500,SDSS,sdss_286.png,png
0.9427946317,3.1753581265,0.2,500,500,SDSS,sdss_287.png,png
0.94358027,0.1981296052,0.2,500,500,SDSS,sdss_288.png,png
0.9438343164,-11.0286059061,0.2,500,500,SDSS,sdss_289.png,png
0.945906028,-0.0639620739,0.2,500,500,SDSS,sdss_290.png,png
0.9532559092,0.9461539729,0.2,500,500,SDSS,sdss_291.png,png
0.9545182557,15.319693594,0.2,500,500,SDSS,sdss_292.png,png
0.9564101554,2.1138719333,0.2,500,500,SDSS,sdss_293.png,png
0.9567083365,0.9915121901,0.2,500,500,SDSS,sdss_294.png,png
0.9628457487,-10.8107728528,0.2,500,500,SDSS,sdss_295.png,png
0.9661880842,-8.9131779258,0.2,500,500,SDSS,sdss_296.png,png
0.9682278652,-9.9435912994,0.2,500,500,SDSS,sdss_297.png,png
0.9685810449,-10.3949983466,0.2,500,500,SDSS,sdss_298.png,png
0.9739830658,14.5672316882,0.2,500,500,SDSS,sdss_299.png,png
0.9779057982,14.1973784798,0.2,500,500,SDSS,sdss_300.png,png
0.9825188553,0.3775479214,0.2,500,500,SDSS,sdss_301.png,png
0.9831170008,0.8841968065,0.2,500,500,SDSS,sdss_302.png,png
0.9846657531,2.2257890707,0.2,500,500,SDSS,sdss_303.png,png
